"kingdom";"phylum";"order";"family";"genus";"species";"Melipona rufiventris.honey";"Scaptotrigona sp.honey";"Tetragonisca angustula.honey";"Melipona rufiventris.pollen";"Scaptotrigona sp.pollen";"Tetragonisca angustula.pollen"
"Viridiplantae";"Streptophyta";"Myrtales";"Myrtaceae";"Psidium";"Psidium ratterianum";"0";"0";"0";"0";"0";"0"
"Viridiplantae";"Streptophyta";"Myrtales";"Melastomataceae";"Miconia";"Miconia nervosa";"0";"0";"0";"0.000864021168017584";"0";"0"
"Viridiplantae";"Streptophyta";"Pinales";"Pinaceae";"Pinus";"Pinus spc";"0";"0";"0.0035123971581349";"0";"0.00228206401030243";"0"
"Viridiplantae";"Streptophyta";"Sapindales";"Sapindaceae";"Sapindaceae spc";"Sapindaceae spc";"0.0180577854266958";"0";"0";"0.000762371618839045";"0.000314053470816626";"0.000224365836228026"
"Viridiplantae";"Streptophyta";"Ericales";"Styracaceae";"Styrax";"Styrax spc";"0.00171699722285373";"0";"0";"0.000860573812429388";"0.000858763207234895";"0"
"Viridiplantae";"Streptophyta";"Celastrales";"Celastraceae";"Peritassa";"Peritassa laevigata";"0";"0";"0";"0";"0";"0.00081777650851482"
"Viridiplantae";"Streptophyta";"Cucurbitales";"Cucurbitaceae";"Cucurbita";"Cucurbita maxima";"0";"0.000484528813462414";"0";"0";"0";"0"
"Viridiplantae";"Streptophyta";"Myrtales";"Melastomataceae";"Melastomataceae spc";"Melastomataceae spc";"0";"0";"0";"0";"0.000302504111004183";"0.00131280987959037"
"Viridiplantae";"Streptophyta";"Sapindales";"Anacardiaceae";"Mangifera";"Mangifera indica";"0";"0";"0";"0";"0";"0.000464804365107603"
"Viridiplantae";"Streptophyta";"Myrtales";"Myrtaceae";"Psidium";"Psidium spc";"0";"0";"0";"0";"0";"0"
"Viridiplantae";"Streptophyta";"Aquifoliales";"Aquifoliaceae";"Ilex";"Ilex affinis";"0";"0";"0";"0";"0.00382319690566551";"0.00107206558497188"
"Viridiplantae";"Streptophyta";"Caryophyllales";"Amaranthaceae";"Amaranthus";"Amaranthus viridis";"0";"0.000395628919545939";"0";"0";"0";"0"
"Viridiplantae";"Streptophyta";"Myrtales";"Myrtaceae";"Eugenia";"Eugenia spc";"0";"0";"0";"0";"0";"0"
"Viridiplantae";"Streptophyta";"Asterales";"Asteraceae";"Piptocarpha";"Piptocarpha rotundifolia";"0";"0";"0";"0.000817545121807919";"0";"0"
"Viridiplantae";"Streptophyta";"Myrtales";"Myrtaceae";"Psidium";"Psidium firmum";"0";"0";"0";"0";"0";"0"
"Viridiplantae";"Streptophyta";"Gentianales";"Rubiaceae";"Chiococca";"Chiococca nitida";"0";"0";"0";"0";"0";"0.000356888706391431"
"Viridiplantae";"Streptophyta";"Myrtales";"Combretaceae";"Terminalia";"Terminalia spc";"0";"0";"0";"0";"0.0013149726435665";"0"
"Viridiplantae";"Streptophyta";"Asterales";"Asteraceae";"Bidens";"Bidens pilosa";"0";"0";"0";"0";"0";"0"
"Viridiplantae";"Streptophyta";"Caryophyllales";"Chenopodiaceae";"Beta";"Beta spc";"0";"0";"0";"0";"0.000284348367230594";"0"
"Viridiplantae";"Streptophyta";"Solanales";"Solanaceae";"Solanum";"Solanum lycopersicum";"0";"0";"0";"0";"0";"0"
"Viridiplantae";"Streptophyta";"Poales";"Poaceae";"Urochloa";"Urochloa ruziziensis";"0";"0";"0";"0";"0";"0"
